videoID;country;views
"8e8a3o1w51M";"SE";0
"8e8a3o1w51M";"TW";0
"pCgK-Ze3nhA";"BE";0
"pCgK-Ze3nhA";"ES";0
"pCgK-Ze3nhA";"ID";0
"pCgK-Ze3nhA";"QA";0
"pCgK-Ze3nhA";"RU";0
"pCgK-Ze3nhA";"UA";0
"pCgK-Ze3nhA";"VN";0
"dzJvTcCedm8";"AU";0
"dzJvTcCedm8";"CA";0
"dzJvTcCedm8";"CO";0
"dzJvTcCedm8";"DE";0
"dzJvTcCedm8";"MY";0
"dzJvTcCedm8";"NO";0
"dzJvTcCedm8";"TH";0
"dzJvTcCedm8";"VN";0
"dzJvTcCedm8";"ZA";0
"WSnB5y2JXv8";"BB";0
"WSnB5y2JXv8";"CH";0
"WSnB5y2JXv8";"ES";0
"WSnB5y2JXv8";"HR";0
"WSnB5y2JXv8";"ID";0
"WSnB5y2JXv8";"IT";0
"WSnB5y2JXv8";"KR";0
"WSnB5y2JXv8";"MY";0
"_bdHe3z_fVU";"ES";0
"_bdHe3z_fVU";"FI";0
"_bdHe3z_fVU";"MX";0
"_bdHe3z_fVU";"MY";0
"_bdHe3z_fVU";"PL";0
"_bdHe3z_fVU";"SG";0
"BxKIJL5baAU";"BE";0
"WX0nH-lEpk4";"FR";0
"WX0nH-lEpk4";"MX";0
"DWjbd7NPUCM";"AE";0
"DWjbd7NPUCM";"DE";0
"DWjbd7NPUCM";"IE";0
"DWjbd7NPUCM";"MX";0
"DWjbd7NPUCM";"NL";0
"DWjbd7NPUCM";"ZA";0
"Z4E2jSZ4r6A";"CA";0
"2RZkc_qrV1g";"BE";0
"2RZkc_qrV1g";"DE";0
"2RZkc_qrV1g";"KH";0
"2RZkc_qrV1g";"NL";0
"2RZkc_qrV1g";"SA";0
"6jeSIRpjv0M";"AE";0
"6jeSIRpjv0M";"AR";0
"6jeSIRpjv0M";"AT";0
"6jeSIRpjv0M";"BE";0
"6jeSIRpjv0M";"BG";0
"6jeSIRpjv0M";"CN";0
"6jeSIRpjv0M";"CO";0
"6jeSIRpjv0M";"FI";0
"6jeSIRpjv0M";"HK";0
"6jeSIRpjv0M";"HU";0
"6jeSIRpjv0M";"IT";0
"6jeSIRpjv0M";"MA";0
"6jeSIRpjv0M";"MX";0
"6jeSIRpjv0M";"MY";0
"6jeSIRpjv0M";"PT";0
"6jeSIRpjv0M";"SA";0
"6jeSIRpjv0M";"TH";0
"6jeSIRpjv0M";"TW";0
"6jeSIRpjv0M";"VN";0
"6jeSIRpjv0M";"ZA";0
"2SGXnYFdqu4";"TN";0
"4NgQLqHI6hU";"CA";0
"4NgQLqHI6hU";"CL";0
"4NgQLqHI6hU";"NL";0
"2kmFfbOeFJg";"AR";0
"2kmFfbOeFJg";"BR";0
"2kmFfbOeFJg";"CA";0
"2kmFfbOeFJg";"CL";0
"2kmFfbOeFJg";"DE";0
"2kmFfbOeFJg";"DK";0
"2kmFfbOeFJg";"HK";0
"2kmFfbOeFJg";"NL";0
"2kmFfbOeFJg";"NZ";0
"2kmFfbOeFJg";"PH";0
"2kmFfbOeFJg";"PK";0
"Ds8Twy4VvzU";"SG";0
"Ds8Twy4VvzU";"YE";0
"uwjOFYz-FxM";"AE";0
"uwjOFYz-FxM";"CL";0
"uwjOFYz-FxM";"DK";0
"uwjOFYz-FxM";"EC";0
"uwjOFYz-FxM";"IE";0
"uwjOFYz-FxM";"JO";0
"uwjOFYz-FxM";"MX";0
"uwjOFYz-FxM";"PE";0
"uwjOFYz-FxM";"SE";0
"uwjOFYz-FxM";"SG";0
"uwjOFYz-FxM";"TH";0
"uwjOFYz-FxM";"ZA";0
"4V-yeg4fva0";"CA";0
"4V-yeg4fva0";"IT";0
"4V-yeg4fva0";"PE";0
"JHuH7iGcPoY";"BR";0
"JHuH7iGcPoY";"CA";0
"JHuH7iGcPoY";"CL";0
"JHuH7iGcPoY";"DE";0
"JHuH7iGcPoY";"EG";0
"JHuH7iGcPoY";"SE";0
"JHuH7iGcPoY";"ZA";0
"1UkDaiRGShM";"PL";0
"lFd2hjkKz_Q";"AU";0
"lFd2hjkKz_Q";"JP";0
"rLmZYThOJg0";"IN";0
"rLmZYThOJg0";"SE";0
"LG-fdqSIFxE";"NO";0
"6ZM5uFFAd_w";"VN";0
"L2ELtem2iGY";"MY";0
"L2ELtem2iGY";"SA";0
"OIGGrrnMIgk";"AU";0
"OIGGrrnMIgk";"DE";0
"OIGGrrnMIgk";"IT";0
"OIGGrrnMIgk";"NL";0
"OIGGrrnMIgk";"PT";0
"2V9cLPXPemg";"CA";0
"2V9cLPXPemg";"DE";0
"qeWN5gq9EE8";"AE";0
"qeWN5gq9EE8";"BS";0
"qeWN5gq9EE8";"DE";0
"qeWN5gq9EE8";"DK";0
"qeWN5gq9EE8";"LY";0
"qeWN5gq9EE8";"MY";0
"qeWN5gq9EE8";"NZ";0
"qeWN5gq9EE8";"SK";0
"qeWN5gq9EE8";"TN";0
"qeWN5gq9EE8";"TR";0
"qeWN5gq9EE8";"ZA";0
"T7ckdeGOhnU";"AR";0
"T7ckdeGOhnU";"CA";0
"T7ckdeGOhnU";"CI";0
"T7ckdeGOhnU";"CL";0
"T7ckdeGOhnU";"DE";0
"T7ckdeGOhnU";"ES";0
"T7ckdeGOhnU";"FR";0
"T7ckdeGOhnU";"ID";0
"T7ckdeGOhnU";"IS";0
"T7ckdeGOhnU";"IT";0
"T7ckdeGOhnU";"KR";0
"T7ckdeGOhnU";"MX";0
"T7ckdeGOhnU";"NL";0
"T7ckdeGOhnU";"PH";0
"T7ckdeGOhnU";"PL";0
"T7ckdeGOhnU";"PT";0
"T7ckdeGOhnU";"RU";0
"T7ckdeGOhnU";"SE";0
"T7ckdeGOhnU";"UA";0
"T7ckdeGOhnU";"YE";0
"nvv4tPOY8lo";"PT";0
"NjdZjozKboA";"AR";0
"NjdZjozKboA";"AZ";0
"NjdZjozKboA";"BR";0
"NjdZjozKboA";"CL";0
"NjdZjozKboA";"ID";0
"NjdZjozKboA";"PE";0
"gc2X5L4Y5Xg";"DK";0
"gc2X5L4Y5Xg";"TH";0
"gc2X5L4Y5Xg";"US";0
"6IHNYDy_Ynw";"FR";0
"6IHNYDy_Ynw";"HK";0
"6IHNYDy_Ynw";"PH";0
"6IHNYDy_Ynw";"ZA";0
"aus8JuVxajM";"CA";0
"_p9E8fiDRDw";"BE";0
"_p9E8fiDRDw";"BR";0
"_p9E8fiDRDw";"CL";0
"_p9E8fiDRDw";"CO";0
"_p9E8fiDRDw";"CR";0
"_p9E8fiDRDw";"DK";0
"_p9E8fiDRDw";"FR";0
"_p9E8fiDRDw";"MX";0
"_p9E8fiDRDw";"PE";0
"_p9E8fiDRDw";"SG";0
"_p9E8fiDRDw";"VN";0
"_p9E8fiDRDw";"ZA";0
"sepAWgLOCBI";"DE";0
"sepAWgLOCBI";"FI";0
"sepAWgLOCBI";"ZA";0
"Uuo8AsMxqss";"IS";0
"Uuo8AsMxqss";"NO";0
"Uuo8AsMxqss";"ZA";0
"QFADxSyXwwY";"BR";0
"QFADxSyXwwY";"CA";0
"QFADxSyXwwY";"DZ";0
"QFADxSyXwwY";"FR";0
"QFADxSyXwwY";"ID";0
"QFADxSyXwwY";"KE";0
"QFADxSyXwwY";"NG";0
"QFADxSyXwwY";"SE";0
"QFADxSyXwwY";"SG";0
"QFADxSyXwwY";"TH";0
"fKygF7VEJnQ";"AT";0
"fKygF7VEJnQ";"CL";0
"fKygF7VEJnQ";"CO";0
"fKygF7VEJnQ";"CR";0
"fKygF7VEJnQ";"IL";0
"fKygF7VEJnQ";"SE";0
"fKygF7VEJnQ";"TH";0
"fKygF7VEJnQ";"VN";0
"fKygF7VEJnQ";"ZA";0
"L1govVEBxDo";"AU";0
"L1govVEBxDo";"CA";0
"L1govVEBxDo";"CL";0
"L1govVEBxDo";"DE";0
"L1govVEBxDo";"FR";0
"L1govVEBxDo";"HK";0
"L1govVEBxDo";"IE";0
"L1govVEBxDo";"IL";0
"L1govVEBxDo";"NG";0
"L1govVEBxDo";"NL";0
"L1govVEBxDo";"PH";0
"L1govVEBxDo";"PL";0
"L1govVEBxDo";"ZA";0
"GvKYUgka_4Y";"AE";0
"GvKYUgka_4Y";"AR";0
"GvKYUgka_4Y";"BE";0
"GvKYUgka_4Y";"BG";0
"GvKYUgka_4Y";"BH";0
"GvKYUgka_4Y";"BR";0
"GvKYUgka_4Y";"CH";0
"GvKYUgka_4Y";"CI";0
"GvKYUgka_4Y";"EG";0
"GvKYUgka_4Y";"ES";0
"GvKYUgka_4Y";"FI";0
"GvKYUgka_4Y";"FR";0
"GvKYUgka_4Y";"GE";0
"GvKYUgka_4Y";"GH";0
"GvKYUgka_4Y";"HK";0
"GvKYUgka_4Y";"ID";0
"GvKYUgka_4Y";"IE";0
"GvKYUgka_4Y";"IL";0
"GvKYUgka_4Y";"IT";0
"GvKYUgka_4Y";"JO";0
"GvKYUgka_4Y";"KE";0
"GvKYUgka_4Y";"KR";0
"GvKYUgka_4Y";"LK";0
"GvKYUgka_4Y";"LV";0
"GvKYUgka_4Y";"MY";0
"GvKYUgka_4Y";"NL";0
"GvKYUgka_4Y";"NO";0
"GvKYUgka_4Y";"NZ";0
"GvKYUgka_4Y";"PH";0
"GvKYUgka_4Y";"PL";0
"GvKYUgka_4Y";"SA";0
"GvKYUgka_4Y";"SE";0
"GvKYUgka_4Y";"SK";0
"GvKYUgka_4Y";"TH";0
"GvKYUgka_4Y";"VN";0
"GvKYUgka_4Y";"ZA";0
"_JMSw6i5pzY";"AE";0
"_JMSw6i5pzY";"AT";0
"_JMSw6i5pzY";"AU";0
"_JMSw6i5pzY";"BR";0
"_JMSw6i5pzY";"CH";0
"_JMSw6i5pzY";"CL";0
"_JMSw6i5pzY";"CR";0
"_JMSw6i5pzY";"DE";0
"_JMSw6i5pzY";"DK";0
"_JMSw6i5pzY";"FR";0
"_JMSw6i5pzY";"IL";0
"_JMSw6i5pzY";"MX";0
"_JMSw6i5pzY";"MY";0
"_JMSw6i5pzY";"NL";0
"_JMSw6i5pzY";"NZ";0
"_JMSw6i5pzY";"SA";0
"_JMSw6i5pzY";"SE";0
"_JMSw6i5pzY";"SG";0
"_JMSw6i5pzY";"SI";0
"_JMSw6i5pzY";"ZA";0
"eXz0cLDRMyg";"CL";0
"eXz0cLDRMyg";"HR";0
"eXz0cLDRMyg";"PL";0
"eXz0cLDRMyg";"QA";0
"eXz0cLDRMyg";"RS";0
"eXz0cLDRMyg";"SG";0
"eXz0cLDRMyg";"ZA";0
"eXz0cLDRMyg";"ZW";0
"UFD5S4Peqc4";"BD";0
"UFD5S4Peqc4";"BE";0
"UFD5S4Peqc4";"BH";0
"UFD5S4Peqc4";"CL";0
"UFD5S4Peqc4";"CO";0
"UFD5S4Peqc4";"DO";0
"UFD5S4Peqc4";"EE";0
"UFD5S4Peqc4";"GT";0
"UFD5S4Peqc4";"IQ";0
"UFD5S4Peqc4";"JM";0
"UFD5S4Peqc4";"JP";0
"UFD5S4Peqc4";"KW";0
"UFD5S4Peqc4";"MO";0
"UFD5S4Peqc4";"MY";0
"UFD5S4Peqc4";"PE";0
"UFD5S4Peqc4";"SG";0
"151Quamk9Uo";"CA";0
"151Quamk9Uo";"PL";0
"VKkN-FF66Zw";"AE";0
"VKkN-FF66Zw";"AO";0
"VKkN-FF66Zw";"BE";0
"VKkN-FF66Zw";"CO";0
"VKkN-FF66Zw";"EC";0
"VKkN-FF66Zw";"FR";0
"VKkN-FF66Zw";"GR";0
"VKkN-FF66Zw";"MX";0
"VKkN-FF66Zw";"MY";0
"VKkN-FF66Zw";"NG";0
"VKkN-FF66Zw";"NO";0
"VKkN-FF66Zw";"NZ";0
"VKkN-FF66Zw";"PH";0
"VKkN-FF66Zw";"PL";0
"VKkN-FF66Zw";"PT";0
"VKkN-FF66Zw";"SA";0
"VKkN-FF66Zw";"SG";0
"VKkN-FF66Zw";"TW";0
"fcv3CHBItJo";"BG";0
"fcv3CHBItJo";"DO";0
"fcv3CHBItJo";"NO";0
"fcv3CHBItJo";"PK";0
"fcv3CHBItJo";"SA";0
"fcv3CHBItJo";"VN";0
"fcv3CHBItJo";"ZA";0
"P2hu_VsRVfM";"AE";0
"P2hu_VsRVfM";"BE";0
"P2hu_VsRVfM";"CA";0
"P2hu_VsRVfM";"CH";0
"P2hu_VsRVfM";"CL";0
"P2hu_VsRVfM";"CO";0
"P2hu_VsRVfM";"DE";0
"P2hu_VsRVfM";"ES";0
"P2hu_VsRVfM";"FR";0
"P2hu_VsRVfM";"IT";0
"P2hu_VsRVfM";"MX";0
"P2hu_VsRVfM";"NG";0
"P2hu_VsRVfM";"NL";0
"P2hu_VsRVfM";"NZ";0
"P2hu_VsRVfM";"PE";0
"P2hu_VsRVfM";"PK";0
"P2hu_VsRVfM";"PL";0
"P2hu_VsRVfM";"RS";0
"P2hu_VsRVfM";"SG";0
"P2hu_VsRVfM";"TH";0
